year,faculty_name,department_name,pure_id,wos_id,doi,issued,doctype,language,title,abstract,keywords,subjects
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),35174312,WOS:000686049700015,10.1016/j.ejca.2021.06.007,2021-09-01,Article,English,Stage-specific trends in incidence and survival of cutaneous melanoma in the Netherlands (2003-2018): A nationwide population-based study,"Conclusion: We observed an increase in incidence for patients with stage I and III and an improvement in survival for patients with stage II, III and IV. These trends can be partly explained by the introduction of the SLNB and the novel drugs. (C) 2021 The Authors. Published by Elsevier Ltd.",Targeted therapy,Oncology
2021,Erasmus School of Health Policy & Management,Health Care Governance (HCG),41410723,WOS:000680401500012,10.34172/ijhpm.2020.180,2021-09-01,Editorial material,English,"Taking the Relationship Between Populism and Healthcare Seriously: A Call for Empirical Analysis Rather Than Moral Condemnation Comment on ""A Scoping Review of Populist Radical Right Parties' Influence on Welfare Policy and its Implications for Population Health in Europe""","In this commentary, we reflect on Rinaldi and Bekker's scoping review of the literature on populist radical right (PRR) parties and welfare policies. We argue that their review provides political scientists and healthcare scholars with a firm basis to further explore the relationships between populism and welfare policies in different political systems. In line with the authors, we furthermore (re)emphasize the need for additional empirical inquiries into the relationship between populism and healthcare. But instead of expanding the research agenda suggested - for instance by adding categories or niches in which this relationship can be observed - we would like to challenge some of the premises of the studies conducted and reviewed thus far. We do so by identifying two concerns and by illustrating these concerns with two examples from the Netherlands.",Welfare States,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),37393831,WOS:000684203900002,10.1016/j.jocm.2021.100302,2021-09-01,Article,English,Separating generalizable from source-specific preference heterogeneity in the fusion of revealed and stated preferences,"Preference heterogeneity is one of the central behavioral concepts in applied econometrics. Its centrality is particularly evident in the choice modeling literature, notably in its widespread application to environmental and health economics, marketing, and transport. Despite conceptual and empirical advances in modeling preference heterogeneity, the generalizability of preference heterogeneity to different decision contexts and different data generation processes remains an open question. The basic premise of this paper is that latent sources of preference heterogeneity can be decomposed into components general to decision contexts and others specific to them. We study the structure of preference heterogeneity in different data generation processes with the goal of reliably identifying common (presumably generalizable) and specific (presumably not generalizable) sources of preference heterogeneity. The contribution of the paper is both conceptual and methodological, leading to the testing of five rival model specifications which together elucidate the heterogeneity structure present in two preference data sources of the same choice behavior. In the empirical application, we find that the multitrait-multimethod model of preference heterogeneity has the best fit and most sensible interpretations, indicating that while each data source contributes uniquely to certain heterogeneity components, both data sources contribute also to common (generalizable) preference heterogeneity. Recognition of the separability of the common versus source-specific preference heterogeneity will lead to more reliable and accurate demand model forecasts and assessments of welfare impacts.",Stated preferences,Business & Economics
2021,Erasmus School of Health Policy & Management,,30094199,WOS:000686232600020,10.1136/annrheumdis-2020-219523,2021-09-01,Article,English,"EULAR Points to Consider (PtC) for designing, analysing and reporting of studies with work participation as an outcome domain in patients with inflammatory arthritis",Conclusion Adherence to these EULAR PtC will improve the methodological quality of studies evaluating WP.,,Rheumatology
2021,Erasmus School of Health Policy & Management,Health Economics (HE),40063536,WOS:000686420400001,10.1002/hec.4412,2021-08-19,Early Access,English,Life satisfaction: The role of domain-specific reference points,"In the evaluation of well-being, it is not only important what people have in absolute terms, but also how this compares to reference points in relative terms. We explore the relevance of relative comparisons by testing the effect of people's self-rated position on potential reference points for income and health on their subjective well-being. We used Multiple Discrepancies Theory as a framework to identify seven potentially relevant reference points for income and health. A representative sample (N = 550) of the Netherlands assessed their income and health relative to these reference points. In addition, we elicited monthly household income, health status (EQ-5D-5L), and subjective well-being (SWLS). In line with the literature, we found a negative convex relationship between subjective well-being and age and a positive relationship with being employed, income, and health. For income, subjective well-being was also associated with how current income compared to respondents' needs and progression over time, and for health especially with how current health compared to what they felt they deserved. Our findings suggest that income and health are important for subjective well-being both in absolute and relative terms. We found negative effects on life satisfaction if some of the domain specific reference points were not met.",subjective well-being,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),41409134,WOS:000685305600001,10.1186/s12913-021-06818-1,2021-08-12,Article,English,Designing a system for performance appraisal: balancing physicians' accountability and professional development,"Background In many healthcare systems, physicians are accustomed to periodically participate in individual performance appraisals to guide their professional development. For the purpose of revalidation, or maintenance of certification, they need to demonstrate that they have engaged with the outcomes of these appraisals. The combination of taking ownership in professional development and meeting accountability requirements may cause undesirable interference of purposes. To support physicians in their professional development, new Dutch legislation requires that they discuss their performance data with a non-hierarchical (peer)coach and draft a personal development plan. In this study, we report on the design of this system for performance appraisal in a Dutch academic medical center. Methods Using a design-based research approach, a hospital-based research group had the lead in drafting and implementing a performance appraisal protocol, selecting a multisource feedback tool, co-developing and piloting a coaching approach, implementing a planning tool, recruiting peer coaches and facilitating their training and peer group debriefings. Results The system consisted of a two-hour peer-to-peer conversation based on the principles of appreciative inquiry and solution-focused coaching. Sessions were rated as highly motivating, development-oriented, concrete and valuable. Peer coaches were considered suitable, although occasionally physicians preferred a professional coach because of their expertise. The system honored both accountability and professional development purposes. By integrating the performance appraisal system with an already existing internal performance system, physicians were enabled to openly and safely discuss their professional development with a peer, while also being supported by their superior in their self-defined developmental goals. Although the peer-to-peer conversation was mandatory and participation in the process was documented, it was up to the physician whether or not to share its results with others, including their superior. Conclusions In the context of mandatory revalidation, professional development can be supported when the appraisal process involves three characteristics: the appraisal process is appreciative and explores developmental opportunities; coaches are trustworthy and skilled; and the physician has control over the disclosure of the appraisal output. Although the peer-to-peer conversations were positively evaluated, the effects on physicians' professional development have yet to be investigated in longitudinal research designs.",Design-based research (DBR),Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Care Governance (HCG),30127967,WOS:000677560400014,10.1016/j.healthpol.2021.05.002,2021-08-01,Article,English,"Power, legitimacy and urgency: Unravelling the relationship between Dutch healthcare organisations and their financial stakeholders","Healthcare organisations rely on their financial stakeholders for capital to invest in state-of-the-art buildings, equipment, innovation and the delivery of healthcare services. Nevertheless, relations between healthcare organisations and their financial stakeholders have not been well studied. Here, we studied the relations between Dutch healthcare organisations and two of their main financial stakeholders (banks and health insurers) against the backdrop of system reforms and the financial crisis. We conducted a survey of healthcare executives to evaluate their relations with banks and health insurers in terms of power, legitimacy and urgency. These three attributes are based on the salience model of Mitchel, Agle and Wood (1997). We further tested for differences in power, legitimacy and urgency across organisational sector and size. The results showed that healthcare organisations value banks as legitimate stakeholders with a well-demarcated influence and a clear-cut function. The relationship with health insurers is more complex. Healthcare organisations experience considerable influence from health insurers but question the legitimacy of their claims. Since health insurers play a crucial role in the Dutch healthcare system, these findings question the workability of the relationship between healthcare organisations and health insurers and the position of health insurers in the overall healthcare sector. Our results are relevant to countries with public-private health systems and contribute to the development of the salience model by showing the individual value of stakeholder attributes and the relevance of context. (C) 2021 The Authors. Published by Elsevier B.V.",,Health Care Sciences & Services
2019,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),27628735,WOS:000683578800013,10.1016/j.euo.2019.09.005,2021-08-01,Article,English,Real-world Outcomes of Sequential Androgen-receptor Targeting Therapies with or Without Interposed Life-prolonging Drugs in Metastatic Castration-resistant Prostate Cancer: Results from the Dutch Castration-resistant Prostate Cancer Registry,"Patient summary: We observed no differences in outcomes of patients treated with sequential abiraterone acetate plus prednisone (ABI + P) and enzalutamide (ENZ) with or without interposed chemotherapy or radium-223. In general, outcomes were lower than those in randomised trials, questioning the additional effect of second treatment with ABI + P or ENZ in daily practice. (C) 2019 European Association of Urology. Published by Elsevier B.V. All rights reserved.",Sequencing,Urology & Nephrology
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),37202986,WOS:000683572100036,10.1016/j.preghy.2021.06.012,2021-08-01,Article,English,Cost-utility of a first-trimester screening strategy versus the standard of care for nulliparous women to prevent pre-term pre-eclampsia in Belgium,"Objectives: To assess the cost-effectiveness of the Fetal Medicine Foundation (FMF) combined first-trimester preeclampsia (PE) screening algorithm, coupled with low-dose aspirin treatment in high-risk patients, compared to the standard of care (SOC; screening based on maternal risk factors) for nulliparous pregnancies in Belgium. Study design: A decision analytic model was used to estimate the costs and outcomes for patients screened using the SOC and for those using the FMF screening algorithm, from the Belgian payers' perspective. Where possible, the probabilities and associated costs at each decision point were calculated based on published literature and public databases. Main outcome measures: Cost-effectiveness was assessed using an incremental cost-effectiveness ratio. One-way sensitivity analyses were performed to assess the impact of independent variations in each model parameter. A probabilistic sensitivity analysis was used to estimate the impact of the overall uncertainty of the model on the estimated cost-effectiveness. Results: Considering an estimated 51,309 pregnancies in nulliparous women in Belgium per year, the FMF screening algorithm resulted in fewer cases of pre-term PE compared with the SOC (479 versus 816 cases) and a cost saving of euro 28.67 per patient. The outcome in quality-adjusted life-years was similar for both screening approaches (FMF screening algorithm 1.8521 versus SOC 1.8518). The FMF screening algorithm was cost-saving and more effective in 99.4% of simulations. Conclusions: The FMF screening algorithm coupled with early intervention using low-dose aspirin has the potential to prevent an additional 337 cases of pre-term PE per year compared with the current SOC in this population, along with a cost saving.",Standard of care,Cardiovascular System & Cardiology
2021,Erasmus School of Health Policy & Management,Health Economics (HE),37736693,WOS:000679552200001,10.1002/hec.4401,2021-07-30,Early Access,English,Distributional consequences of including survivor costs in economic evaluations distributional consequences of survivor costs in economic evaluations,"Medical interventions that increase life expectancy of patients result in additional consumption of non-medical goods and services in 'added life years'. This paper focuses on the distributional consequences across socio-economic groups of including these costs in cost effectiveness analysis. In that context, it also highlights the role of remaining quality of life and household economies of scale. Data from a Dutch household spending survey was used to estimate non-medical consumption and household size by age and educational attainment. Estimates of non-medical consumption and household size were combined with life tables to estimate what the impact of including non-medical survivor costs would be on the incremental cost effectiveness ratio (ICER) of preventing a death at a certain age. Results show that including non-medical survivor costs increases estimated ICERs most strongly when interventions are targeted at the higher educated. Adjusting for household size (lower educated people less often live additional life years in multi-person households) and quality of life (lower educated people on average spend added life years in poorer health) mitigates this difference. Ignoring costs of non-medical consumption in economic evaluations implicitly favors interventions targeted at the higher educated and thus potentially amplifies socio-economic inequalities in health.",inequalities in health,Health Care Sciences & Services
